"filename", "language", "YAML", "scs", "Markdown", "comment", "blank", "total"
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concept_fibonacci_tree.scs", "scs", 0, 56, 0, 0, 11, 67
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concept_growing_tree.scs", "scs", 0, 52, 0, 0, 11, 63
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/aa_tree.concept.yaml", "YAML", 58, 0, 0, 0, 3, 61
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/avl_tree.concept.yaml", "YAML", 348, 0, 0, 0, 11, 359
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/b_tree.concept.yaml", "YAML", 48, 0, 0, 0, 5, 53
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/balanced_tree.concept.yaml", "YAML", 47, 0, 0, 0, 4, 51
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/bicentre_tree.concept.yaml", "YAML", 33, 0, 0, 0, 3, 36
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/bichromatic_graph.concept.yaml", "YAML", 25, 0, 0, 0, 4, 29
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/binomial_tree.concept.yaml", "YAML", 64, 0, 0, 0, 4, 68
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/brother_tree.concept.yaml", "YAML", 57, 0, 0, 0, 4, 61
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/bsp_tree.concept.yaml", "YAML", 40, 0, 0, 0, 3, 43
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_aa_tree.scs", "scs", 0, 53, 0, 0, 12, 65
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_avl_tree.scs", "scs", 0, 255, 0, 0, 44, 299
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_b_tree.scs", "scs", 0, 47, 0, 0, 14, 61
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_balanced_tree.scs", "scs", 0, 56, 0, 0, 14, 70
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_bicentre_tree.scs", "scs", 0, 47, 0, 0, 12, 59
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_bichromatic_graph.scs", "scs", 0, 43, 0, 0, 13, 56
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_binomial_tree.scs", "scs", 0, 79, 0, 0, 16, 95
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_brother_tree.scs", "scs", 0, 69, 0, 0, 16, 85
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_bsp_tree.scs", "scs", 0, 44, 0, 0, 11, 55
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_hypertree.scs", "scs", 0, 113, 0, 0, 30, 143
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_irreducible_tree.scs", "scs", 0, 35, 0, 0, 10, 45
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_justified_tree.scs", "scs", 0, 62, 0, 0, 15, 77
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_k_d_tree.scs", "scs", 0, 62, 0, 0, 15, 77
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_leaf.scs", "scs", 0, 89, 0, 0, 20, 109
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_left_linear_tree.scs", "scs", 0, 40, 0, 0, 11, 51
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_minimum_spanning_tree.scs", "scs", 0, 42, 0, 0, 11, 53
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_multitree.scs", "scs", 0, 91, 0, 0, 24, 115
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_n_ary_tree.scs", "scs", 0, 42, 0, 0, 11, 53
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_octree.scs", "scs", 0, 42, 0, 0, 11, 53
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_ordered_tree.scs", "scs", 0, 30, 0, 0, 8, 38
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_perfectly_balanced_tree.scs", "scs", 0, 24, 0, 0, 8, 32
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_polytree.scs", "scs", 0, 46, 0, 0, 11, 57
